port,port_name,state,value,year
Calexico East,Calexico East,California,2491920,2019
Otay Mesa,Otay Mesa,California,5750126,2019
San Ysidro,San Ysidro,California,11720414,2019
Tecate,Tecate,California,989487,2019
Calexico,Calexico,California,4337948,2019
Andrade,Andrade,California,732585,2019
Cross Border Xpress,Cross Border Xpress,California,379964,2019
Van Buren,Van Buren,Maine,84171,2019
Madawaska,Madawaska,Maine,198714,2019
Vanceboro,Vanceboro,Maine,15856,2019
Calais,Calais,Maine,352611,2019
Houlton,Houlton,Maine,158930,2019
Fort Fairfield,Fort Fairfield,Maine,50756,2019
Bridgewater,Bridgewater,Maine,24738,2019
Fort Kent,Fort Kent,Maine,63157,2019
Jackman,Jackman,Maine,107659,2019
Limestone,Limestone,Maine,7291,2019
Eastport,Eastport,Maine,56912,2019
Portland,Portland,Maine,0,2019
Bar Harbor,Bar Harbor,Maine,0,2019
Nogales,Nogales,Arizona,3506718,2019
Naco,Naco,Arizona,235089,2019
Sasabe,Sasabe,Arizona,18639,2019
Douglas,Douglas,Arizona,1346104,2019
Lukeville,Lukeville,Arizona,346711,2019
San Luis,San Luis,Arizona,2812396,2019
Trout River,Trout River,New York,77494,2019
Champlain-Rouses Point,Champlain-Rouses Point,New York,753279,2019
Massena,Massena,New York,526250,2019
Buffalo-Niagara Falls,Buffalo-Niagara Falls,New York,3275570,2019
Alexandria Bay,Alexandria Bay,New York,385401,2019
Ogdensburg,Ogdensburg,New York,178708,2019
Cape Vincent,Cape Vincent,New York,0,2019
Pembina,Pembina,North Dakota,309803,2019
Portal,Portal,North Dakota,149705,2019
Neche,Neche,North Dakota,21015,2019
Sarles,Sarles,North Dakota,2656,2019
Hansboro,Hansboro,North Dakota,3073,2019
Walhalla,Walhalla,North Dakota,21540,2019
Antler,Antler,North Dakota,4044,2019
Noonan,Noonan,North Dakota,14434,2019
Westhope,Westhope,North Dakota,10058,2019
Fortuna,Fortuna,North Dakota,7947,2019
Northgate,Northgate,North Dakota,13656,2019
Sherwood,Sherwood,North Dakota,11360,2019
Ambrose,Ambrose,North Dakota,637,2019
Dunseith,Dunseith,North Dakota,37239,2019
Carbury,Carbury,North Dakota,10264,2019
Maida,Maida,North Dakota,3899,2019
St. John,St. John,North Dakota,7462,2019
Hannah,Hannah,North Dakota,570,2019
Progreso,Progreso,Texas,1450178,2019
Roma,Roma,Texas,621634,2019
Boquillas,Boquillas,Texas,6891,2019
Rio Grande City,Rio Grande City,Texas,367777,2019
Del Rio,Del Rio,Texas,1240793,2019
Eagle Pass,Eagle Pass,Texas,2570213,2019
Tornillo-Fabens,Tornillo-Fabens,Texas,311560,2019
El Paso,El Paso,Texas,10227200,2019
Hidalgo,Hidalgo,Texas,4293346,2019
Brownsville,Brownsville,Texas,4380536,2019
Presidio,Presidio,Texas,612015,2019
Laredo,Laredo,Texas,6336240,2019
Opheim,Opheim,Montana,1910,2019
Wildhorse,Wildhorse,Montana,5794,2019
Scobey,Scobey,Montana,2825,2019
Raymond,Raymond,Montana,23258,2019
Del Bonita,Del Bonita,Montana,14593,2019
