,port,state,value,year
0,Calexico East,California,2491920,2019
1,Otay Mesa,California,5750126,2019
2,San Ysidro,California,11720414,2019
3,Tecate,California,989487,2019
4,Calexico,California,4337948,2019
5,Andrade,California,732585,2019
6,Cross Border Xpress,California,379964,2019
7,Van Buren,Maine,84171,2019
8,Madawaska,Maine,198714,2019
9,Vanceboro,Maine,15856,2019
10,Calais,Maine,352611,2019
11,Houlton,Maine,158930,2019
12,Fort Fairfield,Maine,50756,2019
13,Bridgewater,Maine,24738,2019
14,Fort Kent,Maine,63157,2019
15,Jackman,Maine,107659,2019
16,Limestone,Maine,7291,2019
17,Eastport,Maine,56912,2019
18,Portland,Maine,0,2019
19,Bar Harbor,Maine,0,2019
20,Nogales,Arizona,3506718,2019
21,Naco,Arizona,235089,2019
22,Sasabe,Arizona,18639,2019
23,Douglas,Arizona,1346104,2019
24,Lukeville,Arizona,346711,2019
25,San Luis,Arizona,2812396,2019
26,Trout River,New York,77494,2019
27,Champlain-Rouses Point,New York,753279,2019
28,Massena,New York,526250,2019
29,Buffalo-Niagara Falls,New York,3275570,2019
30,Alexandria Bay,New York,385401,2019
31,Ogdensburg,New York,178708,2019
32,Cape Vincent,New York,0,2019
33,Pembina,North Dakota,309803,2019
34,Portal,North Dakota,149705,2019
35,Neche,North Dakota,21015,2019
36,Sarles,North Dakota,2656,2019
37,Hansboro,North Dakota,3073,2019
38,Walhalla,North Dakota,21540,2019
39,Antler,North Dakota,4044,2019
40,Noonan,North Dakota,14434,2019
41,Westhope,North Dakota,10058,2019
42,Fortuna,North Dakota,7947,2019
43,Northgate,North Dakota,13656,2019
44,Sherwood,North Dakota,11360,2019
45,Ambrose,North Dakota,637,2019
46,Dunseith,North Dakota,37239,2019
47,Carbury,North Dakota,10264,2019
48,Maida,North Dakota,3899,2019
49,St. John,North Dakota,7462,2019
50,Hannah,North Dakota,570,2019
51,Progreso,Texas,1450178,2019
52,Roma,Texas,621634,2019
53,Boquillas,Texas,6891,2019
54,Rio Grande City,Texas,367777,2019
55,Del Rio,Texas,1240793,2019
